date,daily_new_cases,cumulative_cases,total_active_cases
2020-03-16,1711,7449,0
2020-03-17,2128,9577,325
2020-03-18,3357,12934,416
2020-03-19,4606,17540,617
2020-03-20,6100,23640,1042
2020-03-21,6940,30580,1492
2020-03-22,9228,39808,2173
2020-03-23,11190,50998,2812
2020-03-24,10896,61894,3938
2020-03-25,12657,74551,5140
2020-03-26,17592,92143,7805
2020-03-27,19215,111358,10887
2020-03-28,19785,131143,12393
2020-03-29,19683,150826,14055
2020-03-30,21139,171965,15892
2020-03-31,25000,196965,18155
2020-04-01,26204,223169,20906
2020-04-02,28135,251304,22995
2020-04-03,31835,283139,25723
2020-04-04,33122,316261,30456
2020-04-05,25843,342104,32180
2020-04-06,28260,370364,36159
2020-04-07,30416,400780,43849
2020-04-08,30964,431744,45359
2020-04-09,34992,466736,51323
2020-04-10,33778,500514,53167
2020-04-11,31323,531837,55563
2020-04-12,28168,560005,55294
2020-04-13,24136,584141,56283
2020-04-14,25943,610084,59601
2020-04-15,29834,639918,59930
2020-04-16,31266,671184,59500
2020-04-17,31500,702684,58904
2020-04-18,27573,730257,57798
2020-04-19,26930,757187,56491
2020-04-20,24376,781563,56720
2020-04-21,27354,808917,59795
2020-04-22,29273,838190,59204
2020-04-23,31938,870128,59215
2020-04-24,31217,901345,57367
2020-04-25,40697,942042,57346
2020-04-26,27324,969366,56167
2020-04-27,22404,991770,56181
2020-04-28,25232,1017002,56041
2020-04-29,26179,1043181,56010
2020-04-30,30063,1073244,54910
2020-05-01,32880,1106124,54888
2020-05-02,29151,1135275,54008
2020-05-03,25759,1161034,52623
2020-05-04,22106,1183140,52375
2020-05-05,22392,1205532,53168
2020-05-06,25312,1230844,52607
2020-05-07,27228,1258072,51445
2020-05-08,27198,1285270,49769
2020-05-09,25280,1310550,48576
2020-05-10,21112,1331662,46741
2020-05-11,18080,1349742,46554
2020-05-12,22521,1372263,47347
2020-05-13,21481,1393744,46926
2020-05-14,26796,1420540,45912
2020-05-15,25407,1445947,44553
2020-05-16,23835,1469782,43520
2020-05-17,20384,1490166,42018
2020-05-18,20613,1510779,41935
2020-05-19,20700,1531479,42019
2020-05-20,21371,1552850,41854
2020-05-21,26751,1579601,41353
2020-05-22,24127,1603728,39999
2020-05-23,22482,1626210,38625
2020-05-24,19122,1645332,37741
2020-05-25,18543,1663875,37702
2020-05-26,16676,1680551,37751
2020-05-27,19193,1699744,38314
2020-05-28,22844,1722588,38005
2020-05-29,23624,1746212,36937
2020-05-30,23543,1769755,35761
2020-05-31,21694,1791449,34914
2020-06-01,20029,1811478,34327
2020-06-02,19909,1831387,33955
2020-06-03,20164,1851551,33218
2020-06-04,20512,1872063,32800
2020-06-05,23046,1895109,32505
2020-06-06,22669,1917778,31994
2020-06-07,19080,1936858,31492
2020-06-08,16935,1953793,31097
2020-06-09,16933,1970726,31181
2020-06-10,20873,1991599,30962
2020-06-11,21976,2013575,29842
2020-06-12,23152,2036727,29309
2020-06-13,25459,2062186,28572
2020-06-14,21629,2083815,28012
2020-06-15,18236,2102051,28034
2020-06-16,22857,2124908,28363
2020-06-17,24206,2149114,28641
2020-06-18,26984,2176098,28538
2020-06-19,30887,2206985,28698
2020-06-20,32232,2239217,28078
2020-06-21,29182,2268399,28325
2020-06-22,26817,2295216,28962
2020-06-23,33446,2328662,30352
2020-06-24,39131,2367793,31268
2020-06-25,39720,2407513,31920
2020-06-26,44300,2451813,31850
2020-06-27,43104,2494917,32569
2020-06-28,41729,2536646,32577
2020-06-29,39368,2576014,33742
2020-06-30,47032,2623046,35340
2020-07-01,51044,2674090,36521
2020-07-02,53511,2727601,37645
2020-07-03,54214,2781815,37921
2020-07-04,54846,2836661,38281
2020-07-05,45374,2882035,38872
2020-07-06,40902,2922937,39960
2020-07-07,50991,2973928,41948
2020-07-08,62815,3036743,43205
2020-07-09,59063,3095806,44053
2020-07-10,67108,3162914,51720
2020-07-11,62584,3225498,51984
2020-07-12,61602,3287100,52860
2020-07-13,57144,3344244,54120
2020-07-14,58618,3402862,55677
2020-07-15,69372,3472234,56341
2020-07-16,70493,3542727,57600
2020-07-17,76498,3619225,57871
2020-07-18,64773,3683998,57818
2020-07-19,64207,3748205,58052
2020-07-20,56709,3804914,58521
2020-07-21,62887,3867801,59479
2020-07-22,69442,3937243,59759
2020-07-23,71426,4008669,59862
2020-07-24,75095,4083764,59801
2020-07-25,64788,4148552,59382
2020-07-26,60768,4209320,58731
2020-07-27,54484,4263804,58987
2020-07-28,58452,4322256,57185
2020-07-29,64156,4386412,57423
2020-07-30,68979,4455391,56570
2020-07-31,67835,4523226,55718
2020-08-01,60640,4583866,54554
2020-08-02,53322,4637188,54108
2020-08-03,42743,4679931,53516
2020-08-04,51205,4731136,53436
2020-08-05,52691,4783827,53432
2020-08-06,54045,4837872,53220
2020-08-07,60837,4898709,51329
2020-08-08,53492,4952201,50071
2020-08-09,50766,5002967,48997
2020-08-10,41370,5044337,48751
2020-08-11,54935,5099272,48600
2020-08-12,56186,5155458,48067
2020-08-13,51763,5207221,47303
2020-08-14,57144,5264365,45868
2020-08-15,56003,5320368,44922
2020-08-16,42503,5362871,44155
2020-08-17,37751,5400622,43614
2020-08-18,40070,5440692,43840
2020-08-19,45073,5485765,43406
2020-08-20,43844,5529609,42109
2020-08-21,46477,5576086,41052
2020-08-22,46033,5622119,40017
2020-08-23,37900,5660019,39064
2020-08-24,34543,5694562,38806
2020-08-25,36839,5731401,38831
2020-08-26,44331,5775732,38515
2020-08-27,44111,5819843,37498
2020-08-28,46115,5865958,37356
2020-08-29,43995,5909953,36516
2020-08-30,38766,5948719,35770
2020-08-31,31720,5980439,35476
2020-09-01,42242,6022681,35338
2020-09-02,30667,6053348,35661
2020-09-03,44631,6097979,34753
2020-09-04,51600,6149579,34177
2020-09-05,44860,6194439,33626
2020-09-06,33033,6227472,32428
2020-09-07,28117,6255589,32052
2020-09-08,22310,6277899,32255
2020-09-09,30756,6308655,32670
2020-09-10,37386,6346041,32535
2020-09-11,44698,6390739,31679
2020-09-12,41850,6432589,30912
2020-09-13,34579,6467168,30027
2020-09-14,33572,6500740,30225
2020-09-15,34778,6535518,30427
2020-09-16,40319,6575837,30345
2020-09-17,43642,6619479,30035
2020-09-18,46889,6666368,29651
2020-09-19,45668,6712036,29185
2020-09-20,35533,6747569,28724
2020-09-21,39162,6786731,28849
2020-09-22,48986,6835717,29645
2020-09-23,39498,6875215,30015
2020-09-24,43341,6918556,30159
2020-09-25,55278,6973834,29891
2020-09-26,47227,7021061,29670
2020-09-27,34990,7056051,29579
2020-09-28,35376,7091427,29696
2020-09-29,36766,7128193,30601
2020-09-30,44909,7173102,31021
2020-10-01,45720,7218822,30942
2020-10-02,49427,7268249,30880
2020-10-03,50874,7319123,30209
2020-10-04,38165,7357288,30063
2020-10-05,37752,7395040,31426
2020-10-06,38846,7433886,32726
2020-10-07,51216,7485102,33565
2020-10-08,55308,7540410,34446
2020-10-09,57085,7597495,34973
2020-10-10,57543,7655038,34700
2020-10-11,46723,7701761,34610
2020-10-12,43248,7745009,35143
2020-10-13,46914,7791923,36171
2020-10-14,57240,7849163,37184
2020-10-15,63641,7912804,37423
2020-10-16,68505,7981309,37479
2020-10-17,57675,8038984,37474
2020-10-18,47957,8086941,36536
2020-10-19,57650,8144591,37976
2020-10-20,60574,8205165,39391
2020-10-21,62856,8268021,40397
2020-10-22,72273,8340294,41114
2020-10-23,82575,8422869,41614
2020-10-24,83792,8506661,42087
2020-10-25,64471,8571132,41883
2020-10-26,63430,8634562,42988
2020-10-27,72255,8706817,44391
2020-10-28,79700,8786517,45214
2020-10-29,89365,8875882,46191
2020-10-30,97942,8973824,46880
2020-10-31,91293,9065117,47486
2020-11-01,141974,9207091,47615
2020-11-02,83454,9290545,48750
